value,product_id
D8FA1,52a103abd2a0e519d5000003
CC14D,52a103abd2a0e519d5000003
5C373,52a103abd2a0e519d5000003
C3B4C,52a103abd2a0e519d5000003
C0977,52a103abd2a0e519d5000003
A489D,52a103abd2a0e519d5000003
B3472,52a103abd2a0e519d5000003
FCCC1,52a103abd2a0e519d5000003
D9E40,52a103abd2a0e519d5000003
9F55B,52a103abd2a0e519d5000003
51113,52a103abd2a0e519d5000003
7AC53,52a103abd2a0e519d5000003
4F8CD,52a103abd2a0e519d5000003
3B63E,52a103abd2a0e519d5000003
69FC2,52a103abd2a0e519d5000003
8C97C,52a103abd2a0e519d5000003
6E76A,52a103abd2a0e519d5000003
20E5E,52a103abd2a0e519d5000003
512F3,52a103abd2a0e519d5000003
FC8F9,52a103abd2a0e519d5000003
74D54,52a103abd2a0e519d5000003
346A4,52a103abd2a0e519d5000003
B0718,52a103abd2a0e519d5000003
6ABED,52a103abd2a0e519d5000003
2B4D1,52a103abd2a0e519d5000003
A1EA5,52a103abd2a0e519d5000003
C39F9,52a103abd2a0e519d5000003
C0DA8,52a103abd2a0e519d5000003
E81FB,52a103abd2a0e519d5000003
7944C,52a103abd2a0e519d5000003
95672,52a103abd2a0e519d5000003
ED474,52a103abd2a0e519d5000003
B245E,52a103abd2a0e519d5000003
BE6D6,52a103abd2a0e519d5000003
66B86,52a103abd2a0e519d5000003
8BF6B,52a103abd2a0e519d5000003
EB700,52a103abd2a0e519d5000003
E2C9A,52a103abd2a0e519d5000003
8138F,52a103abd2a0e519d5000003
2358E,52a103abd2a0e519d5000003
22031,52a103abd2a0e519d5000003
98208,52a103abd2a0e519d5000003
FDB82,52a103abd2a0e519d5000003
81B31,52a103abd2a0e519d5000003
C3661,52a103abd2a0e519d5000003
A731F,52a103abd2a0e519d5000003
98832,52a103abd2a0e519d5000003
5DB5D,52a103abd2a0e519d5000003
50956,52a103abd2a0e519d5000003
B8067,52a103abd2a0e519d5000003
A8BC3,52a103abd2a0e519d5000003
B96E6,52a103abd2a0e519d5000003
B8476,52a103abd2a0e519d5000003
46992,52a103abd2a0e519d5000003
60186,52a103abd2a0e519d5000003
1A2BE,52a103abd2a0e519d5000003
3DF34,52a103abd2a0e519d5000003
984D3,52a103abd2a0e519d5000003
0A290,52a103abd2a0e519d5000003
6C353,52a103abd2a0e519d5000003
C4375,52a103abd2a0e519d5000003
9C7F3,52a103abd2a0e519d5000003
7E4C7,52a103abd2a0e519d5000003
